original_path,canonical_path,sha256,status,note
telemetry/telemetry_1786971668.csv,telemetry/archive/unclassified_captures/telemetry_1786971668.csv,c768aa7ccab01cea4473f562c855618ae0b4df7a14527d12b34f1b985ace6d7c,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786971877.csv,telemetry/archive/unclassified_captures/telemetry_1786971877.csv,58414d99cef469f3812580319001b62b380b1b307b74778fc4901ed11c5df91c,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786971950.csv,telemetry/archive/unclassified_captures/telemetry_1786971950.csv,4d8c0b0d5682bf00d8e1b0192da49a0d7dd995437823d1f8f39c9f0bcc92d6dc,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786972049.csv,telemetry/archive/unclassified_captures/telemetry_1786972049.csv,637368768b1a8fdc7be81bed8db242660c8475d62873275b17ccd558a8927699,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786973199.csv,telemetry/archive/unclassified_captures/telemetry_1786973199.csv,0d77b2229bdadcdcab7b1abe2b94dde640f12c7bbf44bb11071252ffec9d0024,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786973290.csv,telemetry/archive/unclassified_captures/telemetry_1786973290.csv,597dc3123afca0a00ade009517a520cc78c2025620e0abede8d6ff3984c1b81f,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786973460.csv,telemetry/archive/unclassified_captures/telemetry_1786973460.csv,14cbd83a3651e968a1437a716d05eaa08fc23993a2420ed3300e04cc7a646e60,archived,Timestamp-only capture; not a labeled final trial.
telemetry/telemetry_1786974972.csv,telemetry/archive/unclassified_captures/telemetry_1786974972.csv,d509183ab3d7364bce29ca179958d0a86d11fb2330712c1c9950c4d67dbeaf4f,archived,Timestamp-only capture; not a labeled final trial.
telemetry/sim2real_summary.png,telemetry/derived/legacy_sim2real/sim2real_summary.png,cfca961e7bcaf3df26dda683d71e4d947c4c6b484b5bb6477091f1e0feeaeb05,archived,Legacy generated figure.
telemetry/stage4_tracking.png,telemetry/derived/legacy_sim2real/stage4_tracking.png,b2ac1ee0a63e0b3adb3349c2f75fe00f8d4a58225222f64f3e1bd1f89e5880bb,archived,Legacy generated figure.
telemetry/stage4_travel.png,telemetry/derived/legacy_sim2real/stage4_travel.png,0950e0ad6bd4dd95f3609699d406b93bd037365235ee67b603a26ee04fe4e740,archived,Legacy generated figure.
telemetry/stage6_obs_dist.png,telemetry/derived/legacy_sim2real/stage6_obs_dist.png,f259248ee4182d56f78587041fb96b188719ca999a2f900b9abc575092c9b0fa,archived,Legacy generated figure.
telemetry/stage6_obs_velocity.png,telemetry/derived/legacy_sim2real/stage6_obs_velocity.png,85a022ade9f3ce2aa387e72fc49fe8a5df73012f4da45a077e02b7163c8a2267,archived,Legacy generated figure.
telemetry/stage9_actions.png,telemetry/derived/legacy_sim2real/stage9_actions.png,0fef398af44bc5ac2df424c78a07d3d0dba604d0bc2fbc301be0095bd170edac,archived,Legacy generated figure.
telemetry/stage9_observations.png,telemetry/derived/legacy_sim2real/stage9_observations.png,4f5cac2077e0495f3ef09a68a5779b05fb05326a599faedbb11687400ca5e659,archived,Legacy generated figure.
telemetry/NT_0810/45deg_NTsuccess_0810_1.csv,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep01.csv,c4c88050c2f2fffdcca5dfe483f3e0613c54e6c6590b669780c4271316c46816,analysis_input,
telemetry/NT_0810/45deg_NTsuccess_0810_2.csv,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep02.csv,818ccd3ce839d2a0e42c0c6d51f3fb913f9ef09b52832197c5e5c06c431e13ab,analysis_input,
telemetry/NT_0810/45deg_NTsuccess_0810_3.csv,telemetry/raw/no_tail/roll/roll_045deg/nt_roll_045deg_0810_rep03.csv,c4e08ebcc64684726334a0bf3c7943a91ad1ca61b56e26697e5b606e445a088b,analysis_input,
